"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
4946,"San Luis Obispo County, CA, USA","California, USA","United States","35.10186, -120.63037",land,,2016-09-17,,4,,4,19,1.2618,0,,2,,,5,2,,,21,51,,,1,,,13,1,4,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,1,,,2,,,,76,,2,,,38,225
7145,"San Luis Obispo County, CA, USA","California, USA","United States","35.17358, -120.70266",land,,2016-10-21,"EcoSlo/Nathan Kargol",1,,1,4.77,1.6335,0,,11,,2,3,1,,,,44,,,,,,21,14,5,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,14,,,,,15,134
7697,"San Luis Obispo County, CA, USA","California, USA","United States","35.17395, -120.70278",land,,2016-10-29,"EcoSlo/Nathan Kargol",1,,1,1.84,1.585,0,,,,,,,,,,25,,,,,,5,10,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,10,67
10644,"San Luis Obispo County, CA, USA","California, USA","United States","35.17351, -120.70261",land,,2016-11-06,"EcoSlo/Nathan Kargol",1,,1,1.84,1.6425,0,,,,,,1,,,,34,,,1,,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,5,59
11018,"San Luis Obispo County, CA, USA","California, USA","United States","35.59634, -121.12177",land,,2016-11-05,"San Simeon Cove/Fresno MS",38,,38,4.35,0.1168,0,,1,,2,1,,,,2,10,,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,16,,,,,7,50
12632,"San Luis Obispo County, CA, USA","California, USA","United States","35.17368, -120.70273",land,,2016-11-21,"EcoSlo/Nathan Kargol",1,,1,1.93,1.6947,0,,,,,1,,,,,6,,,,,,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,13,,,,,9,43
14288,"San Luis Obispo County, CA, USA","California, USA","United States","35.17419, -120.70281",land,,2016-12-21,"EcoSlo/Nathan Kargol",1,,1,5.88,2.9795,0,,8,,5,6,5,,,7,50,,,6,,1,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,16,,1,,,4,118
14299,"San Luis Obispo County, CA, USA","California, USA","United States","35.17372, -120.70273",land,,2016-12-22,"EcoSlo/Nathan Kargol",1,,1,1.92,1.9086,0,,5,,1,1,1,,,,3,,,,,,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,8,,,,,,29
14431,"San Luis Obispo County, CA, USA","California, USA","United States","35.17437, -120.70256",land,,2016-12-29,"EcoSlo/Nathan Kargol",1,,1,1.84,1.6287,0,,,,2,1,2,,,,16,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,34
17844,"San Luis Obispo County, CA, USA","California, USA","United States","35.168148575915, -120.69585442543",land,,2016-09-17,"CA Coastal Cleanup Day - San Luis Obispo Co.",1198,,1198,6512,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Totals:,,,,,,,,,,,,,,,,27,0,12,18,12,0,0,30,239,0,0,8,0,3,58,41,25,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,170,0,4,0,0,92
