"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
257295,"San Luis Obispo County, CA, USA","California, USA","United States","35.118777863714, -120.62253875669",land,,2023-01-12,,1,,1,4,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257465,"San Luis Obispo County, CA, USA","California, USA","United States","35.423587521256, -120.88031869189",land,,2023-01-15,"morales family",2,,2,3,0.1,0,,1,4,,,1,5,,15,,,,6,,,13,3,12,1,9,,,,,,4,,4,1,,,,,1,,,7,,,,,,,,80,,,,,,,,,,,,,,,,,,167
257764,"San Luis Obispo County, CA, USA","California, USA","United States","35.136147006715, -120.64056629",land,,2023-01-19,seth,1,,1,23.865,0,0,,,3,6,5,,2,3,100,9,,2,1,1,1,16,6,5,1,1,,,3,,,1,1,1,,,,,1,,1,7,,,,,,,,,38,,,,,,,,,,,,,,,,,,215
258419,"San Luis Obispo County, CA, USA","California, USA","United States","35.11819375653, -120.62522352167",land,,2023-01-29,,1,,1,0.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258425,"San Luis Obispo County, CA, USA","California, USA","United States","35.141835054415, -120.6445200463",land,,2023-01-29,zoey,2,,2,4.047,0.062576251002388,0,,,,1,,,,,16,7,,,,,,3,,4,,,,,,,,2,,1,,2,,1,,,,2,12,,,,,,,,30,,,,,,,,,,,,,,,,,,81
258426,"San Luis Obispo County, CA, USA","California, USA","United States","35.1433930084, -120.64318521799",land,,2023-01-29,"dogs out",5,,5,56.463,0.39423599936184,0,,2,1,5,6,5,5,11,65,19,,6,1,,,35,2,2,3,4,,,1,,3,19,,1,1,6,1,,,,1,18,60,9,,,,1,2,,97,,,,,,,,,,,,,,,,,,392
260194,"San Luis Obispo County, CA, USA","California, USA","United States","35.136160715516, -120.64084969472",land,,2023-02-04,seth,2,,2,11.349,0.062372024358462,0,,,3,,,,,,14,11,,2,,,,,,,,,,,3,,,,,,,5,,,,,,3,,,,,,1,,,10,,,,,,,,,,,,,,,,,,52
260228,"San Luis Obispo County, CA, USA","California, USA","United States","35.1427533, -120.6412827",land,,2023-02-05,,2,,2,0.298,0,0,,,5,,,,,,3,,1,,,,,5,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
260286,"San Luis Obispo County, CA, USA","California, USA","United States","35.15692973047, -120.67524760041",land,,2023-02-07,,1,,1,0.016,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
264604,"San Luis Obispo County, CA, USA","California, USA","United States","35.1427533, -120.6412827",land,,2023-02-16,Tracy,1,,1,7.5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264616,"San Luis Obispo County, CA, USA","California, USA","United States","35.37083717707, -120.86478118652",land,saltwater,2023-02-10,"ECOSLO and One Cool Earth",12,,12,10,1,0,1,2,3,5,1,1,,3,,9,,1,1,,1,23,3,4,1,1,,,,,,4,,2,1,2,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
272451,"San Luis Obispo County, CA, USA","California, USA","United States","35.292361169155, -120.6629484148",land,,2023-03-21,"Sigma Pi",5,,5,37.5,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273961,"San Luis Obispo County, CA, USA","California, USA","United States","35.192879086709, -120.46304432805",watercraft,,2023-04-12,castillo,2,,2,55.855,0.15645685191214,0,,9,13,6,14,7,11,97,81,53,7,14,7,1,2,235,8,9,16,1,,,1,1,2,3,,,34,6,,1,2,,2,4,33,21,,,1,,,,73,,,,,,,,,,,,,,,,,,775
