"...1","id","title","date","group_name","people","total_weight","area_cleaned","cleanup_duration","location","lat","long","total_items","plastic","glass","metal","cloth","mixed","paper_wood","dumping","eating.drinking","fishing","personal.hygiene","recreation","smoking","various","construction","clothing_fabric","miscellaneous","paper_wood_products","tires","six_pack_holders","bags_plastic","bags_paper","beverage_containers","bottle_caps","bottles","cans","container_closures","foodware","straws_stirrers","takeout_food_containers_plastic","takeout_food_containers_paper","utensils","wrappers","buoys_pots_traps_floats","fishing_gear","fishing_lines","fishing_net_and_rope","diapers","personal_care_products","ppe","syringes","tampons_applicators","balloons","fireworks","shotgun_wads_shells","packaging_and_other_smoking","cigar_tips","cigarette_butts","e_cigarettes","lighter","glass_fragments","metal_fragments","packaging","plastic_fragments","source","adults","children","distance_cleaned","number_of_bags","site_length","total_weight_kg"
1,2666,"Cleanup on 8/18/18 by San Luis Obispo Chapter at Pismo Beach Pier - San Luis Obispo - CA",2018-08-18,"San Luis Obispo",8,1,NA,NA,"Pismo Beach Pier",35.138888888889,-120.64333333333,317,317,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,"surfrider",NA,NA,NA,NA,NA,NA
2,2129,"Cleanup on 9/15/18 by San Luis Obispo Chapter at Sandspit Beach",2018-09-15,"San Luis Obispo",11,72,NA,NA,"Sandspit Beach",35.308888888889,-120.87166666667,177,158,12,7,0,0,0,0,55,22,0,5,45,50,0,0,0,0,0,0,12,0,0,11,19,7,0,0,6,0,0,0,0,2,0,11,9,0,0,0,0,0,5,0,0,0,0,45,0,0,0,0,0,50,"surfrider",NA,NA,NA,NA,NA,NA
3,2637,"Cleanup on 10/6/18 by San Luis Obispo Chapter at Pirate's Cove - San Luis Obispo - CA",2018-10-06,"San Luis Obispo",30,40,NA,NA,"Pirate's Cove",35.176111111111,-120.71583333333,1621,1467,115,39,0,0,0,0,275,8,0,0,1313,25,0,0,0,0,0,0,36,0,0,20,159,39,0,0,21,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1313,0,0,0,0,0,25,"surfrider",NA,NA,NA,NA,NA,NA
4,5156,"Cleanup on 10/31/2018 at Morro Strand State Beach by Unaffiliated with a Surfrider Chapter/Club",2018-10-31,"Unaffiliated with a Surfrider Chapter/Club",1,1,NA,1,"Morro Strand State Beach",35.403333333333,-120.86888888889,49,34,5,2,0,4,4,0,13,0,0,0,16,20,0,0,4,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,1,0,6,"surfrider",NA,NA,NA,NA,NA,NA
5,2638,"Cleanup on 11/3/18 by San Luis Obispo Chapter at Pirate's Cove - San Luis Obispo - CA",2018-11-03,"San Luis Obispo",30,65,NA,NA,"Pirate's Cove",35.176111111111,-120.71583333333,1489,1333,114,42,0,0,0,0,329,0,0,0,1160,0,0,0,0,0,0,0,38,0,0,52,167,42,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,"surfrider",NA,NA,NA,NA,NA,NA
6,2639,"Cleanup on 12/8/18 by San Luis Obispo Chapter at Pirate's Cove - San Luis Obispo - CA",2018-12-08,"San Luis Obispo",45,103,NA,NA,"Pirate's Cove",35.176111111111,-120.71583333333,413,222,116,75,0,0,0,0,338,0,0,0,0,75,0,0,0,0,0,0,29,0,0,40,165,75,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,"surfrider",NA,NA,NA,NA,NA,NA
7,3170,"Cleanup on 09/21/2019 at West Grand Ave by San Luis Obispo",2019-09-21,"San Luis Obispo",68,74.3,2,2,"West Grand Ave",35.124166666667,-120.63472222222,2125,1808,130,118,0,22,47,2,890,10,7,23,423,768,0,0,1,2,2,2,101,34,0,233,67,24,17,20,77,54,0,17,244,0,0,0,10,4,1,0,0,2,7,16,0,2,4,415,0,4,112,12,0,641,"surfrider",NA,NA,NA,NA,NA,NA
8,3150,"Cleanup on 09/21/2019 at Morro Creek by California Polytechnic State University",2019-09-21,"California Polytechnic State University",30,39,0.5,3,"Morro Creek",35.376327,-120.864604,1029,842,87,39,0,11,50,3,357,6,6,3,283,369,0,0,4,36,3,0,18,4,0,83,25,4,14,13,18,25,0,0,157,0,0,1,5,3,0,0,0,3,2,1,0,2,0,282,0,1,73,0,0,252,"surfrider",NA,NA,NA,NA,NA,NA
9,3723,"Cleanup on 10/06/2019 at Pirates Cove by California Polytechnic State University",2019-10-06,"California Polytechnic State University",33,39,NA,2,"Pirates Cove",35.175,-120.7152,975,346,345,181,0,4,99,0,309,1,4,3,91,567,0,0,0,59,0,0,20,0,0,106,32,28,9,45,5,4,0,1,59,0,0,1,0,0,3,0,0,1,0,3,0,0,0,91,0,0,325,72,0,111,"surfrider",NA,NA,NA,NA,NA,NA
10,3899,"Cleanup on 10/18/2019 at Grover Beach by California Polytechnic State University",2019-10-18,"California Polytechnic State University",46,40,NA,2,"Grover Beach",35.121611,-120.621306,1091,557,61,60,0,207,206,40,406,15,2,31,105,492,0,0,206,137,0,0,3,0,0,115,6,3,0,69,12,0,0,13,185,0,0,1,14,0,0,0,0,2,31,0,0,0,0,105,0,0,60,19,0,110,"surfrider",NA,NA,NA,NA,NA,NA
11,3880,"Cleanup on 10/27/2019 at West Grand Ave by San Luis Obispo",2019-10-27,"San Luis Obispo",15,10.92,1,1,"West Grand Ave",35.124166666667,-120.63472222222,175,130,10,14,0,6,15,0,67,0,0,6,62,40,0,0,0,0,0,0,0,3,0,4,6,8,0,12,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,6,0,0,0,62,0,0,6,2,0,32,"surfrider",NA,NA,NA,NA,NA,NA
12,3975,"Cleanup on 10/27/2019 at Pirates Cove by California Polytechnic State University",2019-10-27,"California Polytechnic State University",30,87,NA,2,"Pirates Cove",35.175,-120.7152,1208,636,175,140,0,107,150,20,485,2,6,0,354,339,0,0,104,90,0,0,21,7,0,81,82,68,19,64,19,2,0,13,112,0,0,1,1,0,3,0,0,3,0,0,0,2,0,354,0,0,124,14,3,21,"surfrider",NA,NA,NA,NA,NA,NA
13,3982,"Cleanup on 11/09/2019 at Sandspit by California Polytechnic State University",2019-11-09,"California Polytechnic State University",46,95,NA,2,"Sandspit",35.308654,-120.871426,803,211,322,178,0,41,51,3,56,2,1,0,3,738,0,0,40,50,0,0,12,0,0,10,4,2,5,4,2,1,0,2,15,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,322,174,1,153,"surfrider",NA,NA,NA,NA,NA,NA
14,4227,"Cleanup on 01/12/2020 at Pirates Cove by California Polytechnic State University",2020-01-12,"California Polytechnic State University",84,107,NA,2,"Pirates Cove",35.175,-120.7152,1625,770,238,288,0,96,233,3,858,2,41,0,198,510,0,0,91,151,0,0,23,4,0,159,184,131,36,131,35,17,0,7,135,0,0,1,1,0,33,0,3,5,0,0,0,20,0,189,0,2,93,24,3,147,"surfrider",NA,NA,NA,NA,NA,NA
15,4281,"Cleanup on 01/26/2020 at Sandspit by California Polytechnic State University",2020-01-26,"California Polytechnic State University",45,95,NA,2,"Sandspit",35.308654,-120.871426,1060,437,202,197,0,195,29,13,70,4,0,0,1,972,0,0,195,29,0,0,33,0,0,14,1,1,0,0,3,0,0,0,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,202,191,0,368,"surfrider",NA,NA,NA,NA,NA,NA
16,4304,"Cleanup on 02/09/2020 at Pirates Cove by California Polytechnic State University",2020-02-09,"California Polytechnic State University",20,110,NA,2,"Pirates Cove",35.175,-120.7152,1058,461,210,131,0,102,154,4,432,12,21,0,128,457,0,0,101,63,0,0,32,1,0,43,84,53,14,93,11,15,5,0,85,0,0,6,6,0,19,0,1,1,0,0,0,7,0,125,0,0,147,43,0,103,"surfrider",NA,NA,NA,NA,NA,NA
17,4360,"Cleanup on 02/23/2020 at Pismo Beach by California Polytechnic State University",2020-02-23,"California Polytechnic State University",22,40,NA,2,"Pismo Beach",35.138267,-120.64188,681,392,5,25,0,123,136,0,239,8,0,0,98,333,0,0,122,103,0,0,4,1,1,24,16,12,6,33,10,0,0,5,127,0,0,1,7,0,0,0,0,0,0,0,0,3,0,98,0,0,2,2,3,101,"surfrider",NA,NA,NA,NA,NA,NA
18,4359,"Cleanup on 03/01/2020 at Pirates Cove by California Polytechnic State University",2020-03-01,"California Polytechnic State University",77,65,NA,2,"Pirates Cove",35.175,-120.7152,1798,863,259,231,0,201,244,6,551,11,9,0,481,732,0,0,198,125,0,0,6,2,0,160,51,48,10,112,12,4,1,5,141,0,1,9,1,0,7,0,0,2,0,0,0,15,0,472,0,2,229,51,4,130,"surfrider",NA,NA,NA,NA,NA,NA
19,4355,"Cleanup on 03/01/2020 at Morro Strand State Beach by San Luis Obispo",2020-03-01,"San Luis Obispo",15,21,NA,2,"Morro Strand State Beach",35.403333333333,-120.86888888889,704,483,6,6,0,3,206,0,387,5,0,3,154,142,0,0,0,0,0,1,18,2,0,2,53,4,26,226,17,1,0,6,41,0,0,0,5,0,0,0,0,0,0,3,0,13,0,154,0,0,0,0,0,132,"surfrider",NA,NA,NA,NA,NA,NA
20,4616,"Cleanup on 08/08/2020 at Avila Beach by San Luis Obispo",2020-08-08,"San Luis Obispo",9,8,NA,1,"Avila Beach",35.179166666667,-120.73666666667,95,63,0,11,0,16,5,0,43,0,4,2,15,31,0,0,14,2,0,0,7,0,0,4,6,9,3,5,1,1,0,3,4,0,0,0,0,0,2,2,0,0,2,0,0,0,0,15,0,0,0,0,0,15,"surfrider",NA,NA,NA,NA,NA,NA
21,4689,"Cleanup on 09/05/2020 at Avila Beach by San Luis Obispo",2020-09-05,"San Luis Obispo",3,500,0.5,6,"Avila Beach",35.179166666667,-120.73666666667,1209,749,175,78,7,111,89,6,770,6,53,0,50,324,0,0,42,56,0,0,40,0,35,102,172,50,60,85,65,10,8,35,120,0,6,0,0,2,11,37,0,3,0,0,0,0,0,50,0,0,100,1,6,113,"surfrider",NA,NA,NA,NA,NA,NA
22,4808,"Cleanup on 09/22/2020 at South Palisades Park by San Luis Obispo",2020-09-22,"San Luis Obispo",1,5,0.4,1,"South Palisades Park",35.16851116,-120.6961441,76,22,15,3,0,3,33,0,25,0,1,0,7,43,0,0,3,31,0,0,0,0,0,6,12,1,1,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,5,0,0,4,"surfrider",NA,NA,NA,NA,NA,NA
23,4826,"Cleanup on 09/23/2020 at Avila Beach by San Luis Obispo",2020-09-23,"San Luis Obispo",1,1.5,0.75,1,"Avila Beach",35.179166666667,-120.73666666667,60,48,3,2,0,4,3,0,19,0,0,1,4,36,0,0,3,0,0,0,0,0,1,2,3,0,2,5,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,30,"surfrider",NA,NA,NA,NA,NA,NA
24,5149,"Cleanup on 10/17/2020 at Pismo Beach Pier by San Luis Obispo",2020-10-17,"San Luis Obispo",1,0.47,1,1,"Pismo Beach Pier",35.138888888889,-120.64333333333,39,36,0,0,0,0,3,0,11,0,3,0,15,9,0,0,0,0,0,0,3,0,0,0,1,0,0,3,1,1,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,15,0,0,0,0,0,7,"surfrider",NA,NA,NA,NA,NA,NA
25,5145,"Cleanup on 10/17/2020 at Pismo Beach Pier by San Luis Obispo",2020-10-17,"San Luis Obispo",10,1,NA,2,"Pismo Beach Pier",35.138888888889,-120.64333333333,50,45,0,3,0,1,1,0,17,0,3,0,15,14,0,0,0,1,0,0,0,0,0,5,0,1,2,0,1,0,0,1,7,0,0,0,0,0,2,1,0,0,0,0,0,1,0,15,0,0,0,0,0,13,"surfrider",NA,NA,NA,NA,NA,NA
26,5160,"Cleanup on 10/18/2020 at Pirate's Cove by California Polytechnic State University",2020-10-18,"California Polytechnic State University",1,4,NA,1,"Pirate's Cove",35.176111111111,-120.71583333333,177,96,22,35,0,14,10,0,68,0,3,0,36,70,0,0,14,3,0,0,2,0,0,22,11,17,1,11,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,36,0,0,13,0,0,38,"surfrider",NA,NA,NA,NA,NA,NA
27,5151,"Cleanup on 10/24/2020 at Morro Rock by San Luis Obispo",2020-10-24,"San Luis Obispo",1,1,1,0.5,"Morro Rock",35.371666666667,-120.86444444444,27,19,2,0,0,2,4,0,13,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,"surfrider",NA,NA,NA,NA,NA,NA
28,5158,"Cleanup on 10/29/2020 at Pirate's Cove by Unaffiliated with a Surfrider Chapter/Club",2020-10-29,"Unaffiliated with a Surfrider Chapter/Club",1,4,NA,1,"Pirate's Cove",35.176111111111,-120.71583333333,73,48,1,14,0,3,7,0,40,0,3,0,18,12,0,0,3,1,0,0,0,0,0,12,2,3,2,11,2,0,0,0,8,0,0,0,0,0,1,2,0,0,0,0,0,0,0,18,0,0,0,0,0,8,"surfrider",NA,NA,NA,NA,NA,NA
29,5154,"Cleanup on 10/29/2020 at Pirate's Cove by Unaffiliated with a Surfrider Chapter/Club",2020-10-29,"Unaffiliated with a Surfrider Chapter/Club",1,5,NA,1,"Pirate's Cove",35.176111111111,-120.71583333333,44,29,2,6,0,4,3,0,22,0,4,0,10,7,0,0,1,3,0,0,0,0,0,2,0,3,0,6,0,2,0,0,9,0,0,0,0,0,1,3,0,0,0,0,0,1,0,10,0,0,2,1,0,0,"surfrider",NA,NA,NA,NA,NA,NA
30,5159,"Cleanup on 10/30/2020 at Shell Beach by California Polytechnic State University",2020-10-30,"California Polytechnic State University",1,3,2,1.5,"Shell Beach",35.168223,-120.695438,45,26,4,11,1,1,2,0,29,3,3,0,3,6,0,0,0,0,0,0,2,1,0,4,4,8,1,2,1,0,0,0,6,0,0,1,2,0,1,2,0,0,0,0,0,1,0,3,0,0,2,0,0,4,"surfrider",NA,NA,NA,NA,NA,NA
31,5161,"Cleanup on 10/31/2020 at Pirate's Cove by California Polytechnic State University",2020-10-31,"California Polytechnic State University",1,5,NA,1,"Pirate's Cove",35.176111111111,-120.71583333333,73,47,13,10,0,2,1,0,28,1,6,0,10,28,0,0,1,0,0,0,3,0,0,10,7,4,0,1,1,0,0,0,5,0,0,0,1,0,4,2,0,0,0,0,0,0,0,10,0,0,8,0,0,16,"surfrider",NA,NA,NA,NA,NA,NA
32,5155,"Cleanup on 10/31/2020 at Pirate's Cove by Unaffiliated with a Surfrider Chapter/Club",2020-10-31,"Unaffiliated with a Surfrider Chapter/Club",1,5,NA,1,"Pirate's Cove",35.176111111111,-120.71583333333,69,39,13,9,0,2,6,2,27,1,3,0,8,28,0,0,0,5,0,0,3,1,0,9,5,2,1,0,2,1,0,0,7,0,1,0,0,0,1,2,0,0,0,0,0,0,0,8,0,0,10,0,0,11,"surfrider",NA,NA,NA,NA,NA,NA
33,5157,"Cleanup on 10/31/2020 at Morro Strand State Beach by Unaffiliated with a Surfrider Chapter/Club",2020-10-31,"Unaffiliated with a Surfrider Chapter/Club",1,5,NA,1,"Morro Strand State Beach",35.403333333333,-120.86888888889,74,52,3,3,0,3,13,0,20,0,2,0,26,26,0,0,3,10,0,0,4,0,0,6,1,0,0,2,0,0,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,0,0,3,0,0,10,"surfrider",NA,NA,NA,NA,NA,NA
34,5150,"Cleanup on 10/31/2020 at Morro Strand State Beach by San Luis Obispo",2020-10-31,"San Luis Obispo",NA,NA,NA,NA,"Morro Strand State Beach",35.403333333333,-120.86888888889,10,7,0,0,0,1,2,0,5,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,"surfrider",NA,NA,NA,NA,NA,NA
35,5153,"Cleanup on 11/04/2020 at Pirates Cove by San Luis Obispo",2020-11-04,"San Luis Obispo",1,5,NA,1.5,"Pirates Cove",35.175,-120.7152,118,117,0,0,0,1,0,0,60,0,7,0,40,11,0,0,0,0,0,0,3,0,0,0,15,0,10,10,2,0,0,0,20,0,0,0,0,0,6,1,0,0,0,0,0,0,0,40,0,0,0,0,0,11,"surfrider",NA,NA,NA,NA,NA,NA
36,5285,"Cleanup on 11/21/2020 at Pismo Beach Pier by San Luis Obispo",2020-11-21,"San Luis Obispo",1,1.14,0.5,1,"Pismo Beach Pier",35.138888888889,-120.64333333333,108,80,0,2,0,3,23,0,42,0,0,0,13,53,0,0,3,16,0,0,1,0,0,8,3,1,3,6,8,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,32,"surfrider",NA,NA,NA,NA,NA,NA
37,5356,"Cleanup on 12/06/2020 at Avila Beach by San Luis Obispo",2020-12-06,"San Luis Obispo",3,5,1,1.35,"Avila Beach",35.179166666667,-120.73666666667,243,191,25,2,0,0,25,0,82,0,1,1,22,136,0,0,1,18,0,0,0,0,0,9,0,2,3,6,7,0,1,3,53,0,0,0,0,0,1,0,0,0,1,0,0,1,0,22,0,0,25,0,1,89,"surfrider",NA,NA,NA,NA,NA,NA
38,5359,"Cleanup on 12/08/2020 at Avila Beach by San Luis Obispo",2020-12-08,"San Luis Obispo",1,3,1,1,"Avila Beach",35.179166666667,-120.73666666667,134,88,3,2,0,30,11,0,69,0,1,0,5,59,0,0,30,5,0,0,0,0,0,51,3,1,0,1,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,21,"surfrider",NA,NA,NA,NA,NA,NA
39,5373,"Cleanup on 12/09/2020 at Avila Beach by San Luis Obispo",2020-12-09,"San Luis Obispo",1,1,1,1,"Avila Beach",35.179166666667,-120.73666666667,77,72,0,0,0,0,5,0,43,0,0,0,10,24,0,0,0,5,0,0,1,0,0,30,2,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,19,"surfrider",NA,NA,NA,NA,NA,NA
40,5618,"Cleanup on 02/06/2021 at Pismo Beach by Unaffiliated with a Surfrider Chapter/Club",2021-02-06,"Unaffiliated with a Surfrider Chapter/Club",2,15,NA,2,"Pismo Beach",35.138267,-120.64188,96,78,0,0,0,15,3,3,15,0,0,0,4,74,0,0,15,3,0,0,0,0,0,5,0,0,0,0,6,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,52,"surfrider",NA,NA,NA,NA,NA,NA
41,5634,"Cleanup on 02/12/2021 at Pismo Beach by Unaffiliated with a Surfrider Chapter/Club",2021-02-12,"Unaffiliated with a Surfrider Chapter/Club",1,4,NA,2,"Pismo Beach",35.138267,-120.64188,117,75,15,3,2,3,19,0,22,1,2,0,37,55,0,0,3,13,0,0,1,0,0,8,0,0,3,5,3,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,35,0,1,15,3,0,21,"surfrider",NA,NA,NA,NA,NA,NA
42,5641,"Cleanup on 02/13/2021 at Pismo Beach by Unaffiliated with a Surfrider Chapter/Club",2021-02-13,"Unaffiliated with a Surfrider Chapter/Club",2,20,NA,2,"Pismo Beach",35.138267,-120.64188,67,56,0,1,1,9,0,0,5,0,2,0,8,52,0,0,8,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,1,0,43,"surfrider",NA,NA,NA,NA,NA,NA
43,5650,"Cleanup on 02/14/2021 at Pismo Beach by Unaffiliated with a Surfrider Chapter/Club",2021-02-14,"Unaffiliated with a Surfrider Chapter/Club",2,6,NA,2,"Pismo Beach",35.138267,-120.64188,38,29,7,1,0,1,0,0,4,0,1,0,5,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,7,1,0,19,"surfrider",NA,NA,NA,NA,NA,NA
44,6086,"Cleanup on 05/31/2021 at Avila Beach by San Luis Obispo",2021-05-31,"San Luis Obispo",32,225,0.8,2.5,"Avila Beach",35.179166666667,-120.73666666667,966,724,12,33,1,41,155,1,529,15,26,1,68,326,0,0,21,50,0,2,31,4,0,60,38,13,23,119,48,16,3,16,172,1,5,0,9,1,3,22,0,0,0,0,0,2,7,57,0,2,4,11,0,226,"surfrider",NA,NA,NA,NA,NA,NA
45,6375,"Cleanup on 08/07/2021 at South Palisades Park by San Diego",2021-08-07,"San Diego",30,5,1,1,"South Palisades Park",35.16851116,-120.6961441,251,214,0,3,0,1,33,0,109,3,1,0,32,106,0,0,0,2,0,0,1,1,0,18,7,0,21,30,10,0,0,3,18,0,0,0,3,1,0,0,0,0,0,0,0,0,0,30,2,0,0,0,1,103,"surfrider",NA,NA,NA,NA,NA,NA
46,6541,"Cleanup on 09/18/2021 at Surf Beach by San Luis Obispo",2021-09-18,"San Luis Obispo",1,2.5,NA,0.75,"Surf Beach",34.685243807985,-120.606199543456,86,62,1,6,0,9,8,0,18,0,6,0,30,32,0,0,7,7,0,0,0,0,0,5,4,2,2,3,2,0,0,0,3,0,0,0,0,0,4,2,0,0,0,0,0,1,1,27,1,0,1,4,0,10,"surfrider",NA,NA,NA,NA,NA,NA
47,8915,"Cleanup on 11/06/2021 at Morro Rock by California Polytechnic State University",2021-11-06,"California Polytechnic State University",4,2,NA,1,"Morro Rock",35.371666666667,-120.86444444444,85,81,0,0,0,0,4,0,31,0,0,0,18,36,0,0,0,0,0,0,2,0,0,4,3,0,0,4,3,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,34,"surfrider",NA,NA,NA,NA,NA,NA
48,6962,"Cleanup on 12/03/2021 at Pismo Beach by California Polytechnic State University",2021-12-03,"California Polytechnic State University",1,5,NA,2,"Pismo Beach",35.138267,-120.64188,144,130,0,8,1,1,4,0,62,0,2,0,30,50,0,0,0,0,0,0,8,1,0,7,8,1,1,7,5,4,2,3,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,30,0,0,0,0,0,50,"surfrider",NA,NA,NA,NA,NA,NA
49,7991,"Cleanup on 03/11/2022 at Grover Beach by California Polytechnic State University",2022-03-11,"California Polytechnic State University",20,2,NA,1,"Grover Beach",35.121611,-120.621306,202,154,2,3,0,8,35,9,82,0,2,1,41,66,0,0,5,28,0,0,11,2,0,13,4,2,4,5,13,0,1,1,28,0,0,0,0,0,0,2,0,0,0,1,0,2,0,40,0,0,1,1,2,36,"surfrider",NA,NA,NA,NA,NA,NA
50,7993,"Cleanup on 03/13/2022 at Morro Strand State Beach by California Polytechnic State University",2022-03-13,"California Polytechnic State University",15,1,NA,1,"Morro Strand State Beach",35.403333333333,-120.86888888889,54,39,2,6,0,3,4,0,8,0,0,0,16,30,0,0,3,1,0,0,1,1,0,0,1,4,0,1,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,2,2,5,5,"surfrider",NA,NA,NA,NA,NA,NA
51,7994,"Cleanup on 04/30/2022 at Morro Strand State Beach by California Polytechnic State University",2022-04-30,"California Polytechnic State University",25,4,NA,1,"Morro Strand State Beach",35.403333333333,-120.86888888889,121,108,2,7,0,1,3,0,29,2,1,0,21,68,0,0,0,0,0,0,4,0,0,2,2,5,0,7,3,0,0,0,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,21,0,0,1,0,0,67,"surfrider",NA,NA,NA,NA,NA,NA
52,7995,"Cleanup on 05/01/2022 at Grover Beach by California Polytechnic State University",2022-05-01,"California Polytechnic State University",30,5,NA,1.5,"Grover Beach",35.121611,-120.621306,284,232,8,17,0,6,21,0,91,7,2,2,22,160,0,0,1,12,0,0,6,0,0,25,6,5,0,19,2,0,0,0,36,3,1,0,3,0,0,2,0,0,0,1,0,0,0,20,0,2,8,3,0,129,"surfrider",NA,NA,NA,NA,NA,NA
53,7996,"Cleanup on 05/21/2022 at Morro Strand State Beach by California Polytechnic State University",2022-05-21,"California Polytechnic State University",12,2,NA,1,"Morro Strand State Beach",35.403333333333,-120.86888888889,80,67,2,3,0,0,8,0,25,1,0,0,8,46,0,0,0,4,0,0,6,0,0,0,0,1,0,4,1,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,2,2,0,37,"surfrider",NA,NA,NA,NA,NA,NA
54,8919,"Cleanup on 09/24/2022 at Grover Beach by California Polytechnic State University",2022-09-24,"California Polytechnic State University",30,9,NA,1,"Grover Beach",35.121611,-120.621306,260,176,14,8,0,14,48,1,110,3,10,1,22,113,0,0,8,34,0,0,16,5,0,7,10,3,0,7,8,0,3,1,50,0,0,2,1,0,5,0,0,5,0,1,0,0,0,21,0,1,10,4,0,58,"surfrider",NA,NA,NA,NA,NA,NA
55,8914,"Cleanup on 10/08/2022 at Morro Strand State Beach by California Polytechnic State University",2022-10-08,"California Polytechnic State University",20,6,NA,1,"Morro Strand State Beach",35.403333333333,-120.86888888889,302,208,5,19,0,27,43,0,107,3,1,0,52,138,0,0,26,18,0,0,15,5,0,18,7,6,1,19,5,0,0,0,73,0,1,2,0,0,1,0,0,0,0,0,0,1,6,46,0,0,2,3,2,45,"surfrider",NA,NA,NA,NA,NA,NA
56,8297,"Cleanup on 10/31/2022 at Pismo Beach by San Luis Obispo",2022-10-31,"San Luis Obispo",2,2,5,2,"Pismo Beach",35.138267,-120.64188,10,10,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,"surfrider",NA,NA,NA,NA,NA,NA
57,8298,"Cleanup on 11/01/2022 at Pismo Beach by San Luis Obispo",2022-11-01,"San Luis Obispo",1,1,8,6,"Pismo Beach",35.138267,-120.64188,13,5,0,6,0,0,2,0,9,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,"surfrider",NA,NA,NA,NA,NA,NA
58,8983,"Cleanup on 11/05/2022 at Morro Rock by California Polytechnic State University",2022-11-05,"California Polytechnic State University",15,4,NA,1,"Morro Rock",35.371666666667,-120.86444444444,77,50,16,1,0,0,10,0,24,2,1,0,8,42,0,0,0,4,0,0,1,0,0,2,1,0,2,6,2,0,0,0,11,0,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,16,1,0,20,"surfrider",NA,NA,NA,NA,NA,NA
59,8917,"Cleanup on 11/12/2022 at Pirate's Cove by California Polytechnic State University",2022-11-12,"California Polytechnic State University",25,5,NA,1,"Pirate's Cove",35.176111111111,-120.71583333333,499,222,138,82,0,1,56,0,238,1,4,0,116,140,0,0,0,7,0,0,7,0,0,48,77,29,9,49,3,1,3,1,27,0,0,1,0,0,3,0,0,1,0,0,0,1,0,115,0,0,72,12,0,33,"surfrider",NA,NA,NA,NA,NA,NA
60,8916,"Cleanup on 11/13/2022 at Grover Beach by California Polytechnic State University",2022-11-13,"California Polytechnic State University",15,7,NA,1,"Grover Beach",35.121611,-120.621306,169,132,0,0,0,2,35,0,46,0,4,1,18,100,0,0,0,34,0,0,10,0,0,4,8,0,4,5,2,0,0,1,12,0,0,0,0,0,3,1,0,0,1,0,0,1,0,17,0,0,0,0,0,66,"surfrider",NA,NA,NA,NA,NA,NA
