"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
213591,"Santa Barbara County, CA, USA","California, USA","United States","34.37412, -119.47865",land,,2022-01-01,,1,,1,0.56,0,0,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
213632,"Santa Barbara County, CA, USA","California, USA","United States","34.4358294, -119.8276389",land,,2022-01-01,S2,1,,1,15,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214425,"Santa Barbara County, CA, USA","California, USA","United States","34.41726, -119.65116",land,,2022-01-03,"SB Channelkeeper Watershed Brigade",1,,1,10.1,0.5042,0,,1,,,,1,,,2,1,,,,,,3,1,1,1,,,,4,,,,,,,,,,,,,1,,,,,,1,,,,,,,,4,,,,,,,6,1,,,,18,46
215144,"Santa Barbara County, CA, USA","California, USA","United States","34.40376, -119.74363",land,,2022-01-09,"Explore ecology",3,,3,2,0.8834,0,,,,1,1,,,,2,10,,,2,1,1,1,3,1,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,22,1,,,,,51
215146,"Santa Barbara County, CA, USA","California, USA","United States","34.40077, -119.72265",land,,2022-01-09,Ncl,2,,2,0.25,0.0128,0,,,,,,,,,1,3,,,,1,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8
215161,"Santa Barbara County, CA, USA","California, USA","United States","34.3741, -119.47865",land,,2022-01-09,,1,,1,0.23,0,0,,1,,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,8
215300,"Santa Barbara County, CA, USA","California, USA","United States","34.42798, -119.7069",land,,2022-01-10,"SB Channelkeeper Watershed Brigadep",1,,1,3.6,0.6332,0,,2,,,6,1,3,4,13,95,,,1,,3,47,2,5,5,,,,8,,,,,,,,,,,,,4,,,,,,16,,,,,,,,,,,,,,,40,4,7,,,41,307
215800,"Santa Barbara County, CA, USA","California, USA","United States","34.42727, -119.67862",land,,2022-01-09,"Explore Ecology",36,,36,40.75,0.1014,0,,3,,2,5,8,,18,27,105,,,,,15,64,,22,2,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,268,,,,,225,774
215882,"Santa Barbara County, CA, USA","California, USA","United States","34.434673309326, -119.890625",land,,2022-01-15,L2,1,,1,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215883,"Santa Barbara County, CA, USA","California, USA","United States","34.4168342, -119.8322099",land,,2022-01-15,S2,1,,1,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216075,"Santa Barbara County, CA, USA","California, USA","United States","34.402986035185, -119.7439786762",land,,2022-01-09,"Explore Ecology",41,,41,40.75,1,0,,3,,2,5,8,,18,27,105,,,,,15,63,,22,2,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,112,,113,505
216305,"Santa Barbara County, CA, USA","California, USA","United States","34.46114, -120.00928",land,,2022-01-22,"Oracle -NAM",1,,1,1.04,1.4492,0,,,,,1,,,,5,,,,1,2,2,5,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,25
216311,"Santa Barbara County, CA, USA","California, USA","United States","34.41741, -119.82899",land,,2022-01-22,"SB ChanneBrigade etc",1,,1,13.5,1.7523,0,,,,11,4,8,,24,19,89,,,5,,1,30,2,4,2,,,,2,1,,,,4,,,,,,,,2,,,,,,4,,,,,,,,13,,,7,,,,29,5,6,,,242,514
216387,"Santa Barbara County, CA, USA","California, USA","United States","34.4168342, -119.8322099",land,,2022-01-23,S2,1,,1,15,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217111,"Santa Barbara County, CA, USA","California, USA","United States","34.43000793457, -119.72917938232",land,,2022-01-25,"The Samarkand Earth Heroes",8,,8,4,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217344,"Santa Barbara County, CA, USA","California, USA","United States","34.41675, -119.67687",land,,2022-01-28,,1,,1,2.25,0.096,0,,2,,,,,,3,2,10,,,,,,6,1,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,10,1,,,,21,59
217395,"Santa Barbara County, CA, USA","California, USA","United States","34.37407, -119.4787",land,,2022-01-29,,1,,1,1.13,0,0,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,,,,1,9
217411,"Santa Barbara County, CA, USA","California, USA","United States","34.4168342, -119.8322099",land,,2022-01-29,S2,1,,1,15,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217412,"Santa Barbara County, CA, USA","California, USA","United States","34.4358294, -119.8276389",land,,2022-01-29,S2,1,,1,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217486,"Santa Barbara County, CA, USA","California, USA","United States","34.40763, -119.85013",land,,2022-01-30,Sbck,1,,1,2.22,0,0,,,,,,,,,11,1,,,,,,1,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,60
219718,"Santa Barbara County, CA, USA","California, USA","United States","34.40368, -119.74414",land,,2022-02-02,"Explore Ecology-Laguna Blanca",29,,29,0.25,0,0,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,9,,,,,5,18
219719,"Santa Barbara County, CA, USA","California, USA","United States","34.3989241, -119.5183559",land,,2022-02-02,"Explore Ecology-Canalino",71,,71,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
