"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
35425,"Santa Barbara County, CA, USA","California, USA","United States","34.97543, -120.41924",land,,2018-03-19,"Son of a Beach",16,,16,0,15.8346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35533,"Santa Barbara County, CA, USA","California, USA","United States","34.65435, -120.4468",land,,2018-03-21,,2,,2,2.07,0.0032,0,,3,,3,,,,,1,2,,,2,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,7,26
36007,"Santa Barbara County, CA, USA","California, USA","United States","34.63743, -120.46198",land,,2018-03-19,"WSon of a beach",1,,1,24.53,0.0231,0,,1,,9,21,10,,,12,12,,,2,1,22,27,7,10,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,8,,,33,,,,38,,3,,,43,267
36322,"Santa Barbara County, CA, USA","California, USA","United States","34.40951, -119.85506",land,,2018-04-10,PBS,1,,1,0,0.0287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36323,"Santa Barbara County, CA, USA","California, USA","United States","34.40914, -119.85867",land,,2018-04-10,PBS,1,,1,1.95,0.2343,0,,1,,2,1,,,,5,1,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,21
36364,"Santa Barbara County, CA, USA","California, USA","United States","34.40394, -119.70148",land,,2018-04-11,PBS,1,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36495,"Santa Barbara County, CA, USA","California, USA","United States","34.41715, -119.86242",land,,2018-04-13,PBS,1,,1,0.06,1.1927,0,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
36612,"Santa Barbara County, CA, USA","California, USA","United States","34.40929, -119.86883",land,,2018-04-17,PBS,1,,1,0.72,0,0,,1,,1,1,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,9
36877,"Santa Barbara County, CA, USA","California, USA","United States","34.42894, -119.87213",land,,2018-04-22,PBS,3,,3,0.14,0.0042,0,,,,,,1,,,1,3,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
36880,"Santa Barbara County, CA, USA","California, USA","United States","34.44182, -119.8268",land,,2018-04-22,PBS,3,,3,0.83,2.7777,0,,2,,,3,4,,,,3,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,20
37004,"Santa Barbara County, CA, USA","California, USA","United States","34.42878, -119.87966",land,,2018-04-24,"California Wildlife Center",3,,3,3.17,0.0032,0,,,,2,,,,,3,12,,,1,,,3,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,4,,,15,46
37068,"Santa Barbara County, CA, USA","California, USA","United States","34.41603, -119.7118",land,,2018-04-26,Volunteer,5,,5,7.29,0.014,0,,4,,2,20,6,,,,100,,,,11,,50,,15,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,5,,,,,20,236
37069,"Santa Barbara County, CA, USA","California, USA","United States","34.41603, -119.7118",land,,2018-04-26,Volunteer,5,,5,7.29,0.014,0,,4,,2,20,6,,,,100,,,,11,,50,,15,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,5,,,,,20,236
37070,"Santa Barbara County, CA, USA","California, USA","United States","34.400879963331, -119.7007226944",land,,2018-04-27,"Ocean Rights",1,,1,7,2,0,4,,45,1,50,,,,,100,30,,,,,75,,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,5,3,,,,,,,,,,,,35,15,50,455
37071,"Santa Barbara County, CA, USA","California, USA","United States","34.41603, -119.7118",land,,2018-04-26,Volunteer,5,,5,7.29,0.014,0,,4,,2,20,6,,,,100,,,,11,,50,,15,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,5,,,,,20,236
37134,"Santa Barbara County, CA, USA","California, USA","United States","34.41319, -119.85542",land,,2018-04-28,PBS,1,,1,4.02,0.6252,0,,4,,2,2,,,,,1,,,,1,1,3,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,20
37158,"Santa Barbara County, CA, USA","California, USA","United States","34.40594, -119.70088",land,,2018-04-29,PBS,1,,1,3.04,1.849,0,,1,,1,5,8,,,10,5,,,2,1,1,10,1,7,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,11,,,,,6,73
37160,"Santa Barbara County, CA, USA","California, USA","United States","34.41318, -119.68777",land,,2018-04-27,PBS,1,,1,1.04,1.4554,0,,2,,,2,3,,,4,3,,,1,,5,2,1,4,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,5,37
37162,"Santa Barbara County, CA, USA","California, USA","United States","34.41318, -119.68777",land,,2018-04-27,PBS,1,,1,1.04,1.4554,0,,2,,,2,3,,,4,3,,,1,,5,2,1,4,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,5,37
37186,"Santa Barbara County, CA, USA","California, USA","United States","34.40964, -119.85495",land,,2018-04-30,PBS,3,,3,0.97,0.0533,0,,4,,1,2,1,,,1,1,,,1,3,,1,1,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
37188,"Santa Barbara County, CA, USA","California, USA","United States","34.4063, -119.69982",land,,2018-04-30,PBS,1,,1,0.71,0.2018,0,,1,,1,2,,,,3,1,,,,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
37193,"Santa Barbara County, CA, USA","California, USA","United States","34.4063, -119.69982",land,,2018-04-30,PBS,1,,1,0.71,0.2018,0,,1,,1,2,,,,3,1,,,,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
37194,"Santa Barbara County, CA, USA","California, USA","United States","34.40578, -119.70098",land,,2018-04-30,PBS,1,,1,0.31,0.1055,0,,,,,3,1,,,2,2,,,1,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18
37200,"Santa Barbara County, CA, USA","California, USA","United States","34.40584, -119.70106",land,,2018-04-30,PBS,1,,1,0.64,0.1693,0,,,,,,3,,,2,5,,,2,,2,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,27
37205,"Santa Barbara County, CA, USA","California, USA","United States","34.4059, -119.70097",land,,2018-04-30,PBS,1,,1,0.05,0.0696,0,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
37206,"Santa Barbara County, CA, USA","California, USA","United States","34.40584, -119.7011",land,,2018-04-30,PBS,1,,1,0.06,0.0412,0,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
37207,"Santa Barbara County, CA, USA","California, USA","United States","34.40957, -119.85503",land,,2018-04-30,PBS,1,,1,0.34,2.8522,0,,,,,2,,,,,1,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
37208,"Santa Barbara County, CA, USA","California, USA","United States","34.42801, -119.87594",land,,2018-04-30,PBS,1,,1,0.11,0.5849,0,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
37210,"Santa Barbara County, CA, USA","California, USA","United States","34.42801, -119.87594",land,,2018-04-30,PBS,1,,1,0.11,0.5849,0,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
