"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
69012,"Santa Barbara County, CA, USA","California, USA","United States","34.403102452571, -119.74349289682",land,,2019-04-08,"Explore Ecology",4,21,25,3,0.5,0,2,,3,,,,,3,5,17,,,3,,,14,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,8,,18,76
69013,"Santa Barbara County, CA, USA","California, USA","United States","34.42087, -119.69316",land,,2019-04-08,"Explore Ecology",25,,25,2.95,0.016,0,,3,,,,,,,5,17,,,3,,,14,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,26,89
69015,"Santa Barbara County, CA, USA","California, USA","United States","34.403046781336, -119.74425039736",land,,2019-03-13,"Explore Ecology",2,14,16,3,0.5,0,1,,,,,2,,2,,19,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,3,,8,40
69016,"Santa Barbara County, CA, USA","California, USA","United States","34.402950490767, -119.74422046294",land,,2019-01-23,"Explore Ecology",3,23,26,0.5,0.25,0,1,,,,,,,3,,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,15
69017,"Santa Barbara County, CA, USA","California, USA","United States","34.403038769567, -119.74465375927",land,,2019-03-21,"Explore Ecology",3,21,24,0.5,0.25,0,1,,,,1,,,1,1,3,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21
69018,"Santa Barbara County, CA, USA","California, USA","United States","34.402901687447, -119.74405533236",land,,2019-03-20,"Explore Ecology",3,21,24,1,0.25,0,1,,,,,,,,,8,,,,,,9,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,30
69019,"Santa Barbara County, CA, USA","California, USA","United States","34.402953264586, -119.74427666195",land,,2019-03-14,"Explore Ecology",4,11,15,3,0.5,0,1,,7,,,,,,,18,,,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,47
69020,"Santa Barbara County, CA, USA","California, USA","United States","34.4030500241, -119.74401327736",land,,2019-01-04,"Explore Ecology",3,13,16,3,0.5,0,1,,6,,,,,,3,9,,,,1,,5,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,12,53
69021,"Santa Barbara County, CA, USA","California, USA","United States","34.402767958958, -119.74343362709",land,,2019-04-02,"Explore Ecology",3,21,24,2,0.5,0,1,,2,,,,,3,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,15
69023,"Santa Barbara County, CA, USA","California, USA","United States","34.402771242876, -119.74351398755",land,,2019-03-08,"Explore Ecology",2,23,25,4,0.5,0,1,,4,,,,,,2,,,,,,,7,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,9,28
