"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
286019,"San Luis Obispo County, CA, USA","California, USA","United States","35.366594265268, -120.85322307805",land,saltwater,2023-05-27,"Morro Bay State Beach",2,2,4,5,0.75,0,6,,3,,3,,,2,4,19,,3,,,2,20,5,9,4,1,,,1,1,1,,16,2,1,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,121
286526,"San Luis Obispo County, CA, USA","California, USA","United States","35.580815230529, -121.11830418941",land,,2023-07-28,,1,,1,0.267,0,0,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,6
287268,"San Luis Obispo County, CA, USA","California, USA","United States","35.17930939, -120.7365367",land,,2023-08-12,,1,,1,0.849,0,0,,1,2,,,,3,,2,4,,,1,,,5,,1,1,,,,,,,1,,2,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,27
287755,"San Luis Obispo County, CA, USA","California, USA","United States","35.358582932676, -120.84666196227",land,,2023-08-19,,1,,1,0.236,0,0,,,,,,,,,1,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,6
296553,"San Luis Obispo County, CA, USA","California, USA","United States","35.2615005, -120.6811214",land,,2023-09-21,"Rosen Slo",2,,2,24.294,0,0,,1,4,1,3,1,,3,10,61,,,,2,2,63,,7,,1,,,,,,7,1,2,,,,3,,,1,,7,88,,,,,,,212,,,,,,,,,,,,,,,,,,480
296554,"San Luis Obispo County, CA, USA","California, USA","United States","35.261948551505, -120.68450932751",land,,2023-09-21,"Rosen SLO",2,,2,4.285,1.2636671870357,0,,1,,3,4,7,5,7,8,131,2,,,1,3,28,,,1,,,,,,,,,,,1,,,,,2,,,5,,,,,,,10,,,,,,,,,,,,,,,,,,219
296555,"San Luis Obispo County, CA, USA","California, USA","United States","35.262081236456, -120.68444401459",land,,2023-09-21,"Rosen slo",2,,2,30.286,0.12330650175085,0,,3,10,6,1,4,4,4,1,295,,45,5,,1,66,,7,5,1,,,4,,1,,1,10,,6,,,,,2,2,8,11,1,4,,2,,,269,,,,,,,,,,,,,,,,,,779
296556,"San Luis Obispo County, CA, USA","California, USA","United States","35.260980594726, -120.68351080297",land,,2023-09-21,"Rosen SLO",2,,2,42.438,0.50945603726336,0,,1,5,7,5,4,4,2,11,56,,3,3,2,4,26,11,5,1,,,,3,1,,,,,,2,,1,1,3,,9,2,15,,,1,,,,109,,,,,,,,,,,,,,,,,,297
296736,"San Luis Obispo County, CA, USA","California, USA","United States","35.13522785, -120.64149956",land,,2023-09-22,,1,,1,15.179,0.38744809727775,0,,,1,,,,2,,,7,,1,1,,,3,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,19
297665,"San Luis Obispo County, CA, USA","California, USA","United States","35.115593690233, -120.58056981968",land,,2023-09-23,"AGHS AVID",20,,20,52.802,0.032586469071746,0,,5,20,,45,27,7,36,63,1,43,17,21,4,6,152,13,19,23,,,,,,,,,,1,6,1,1,2,12,,,140,144,,,1,19,,,61,,,,,,,,,,,,,,,,,,890
