"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
15407,"San Luis Obispo County, CA, USA","California, USA","United States","35.17373, -120.70264",land,,2017-01-29,"EcoSlo/Nathan Kargol",1,,1,9.12,0.9328,0,,3,,9,2,1,,,1,3,,,,3,,30,1,2,2,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,18,,,,,4,82
16352,"San Luis Obispo County, CA, USA","California, USA","United States","35.17369, -120.70269",land,,2017-02-26,"EcoSlo/Nathan Kargol",1,,1,1.6,1.6227,0,,2,,1,3,,,,,13,,,,,1,4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,4,37
16463,"San Luis Obispo County, CA, USA","California, USA","United States","35.17367, -120.70268",land,,2017-03-05,"EcoSlo/Nathan Kargol",1,,1,0.75,0.2525,0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,10
16464,"San Luis Obispo County, CA, USA","California, USA","United States","35.17295, -120.70285",land,,2017-03-05,"EcoSlo/Nathan Kargol",1,,1,1.33,1.1052,0,,,,,,,,,,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,5,19
16512,"San Luis Obispo County, CA, USA","California, USA","United States","35.17352, -120.7023",land,,2017-03-06,"EcoSlo/Nathan Kargol",1,,1,2.07,1.7049,0,,3,,1,1,1,,,,2,,,,1,1,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1,,,3,28
17688,"San Luis Obispo County, CA, USA","California, USA","United States","35.17374, -120.70246",land,,2017-04-08,"EcoSlo/Nathan Kargol",1,,1,0.75,0.0358,0,,,,1,2,,,,,12,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21
17696,"San Luis Obispo County, CA, USA","California, USA","United States","35.17373, -120.70249",land,,2017-04-09,"EcoSlo/Nathan Kargol",1,,1,0.37,0.7912,0,,2,,,,,,,,7,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,14
17707,"San Luis Obispo County, CA, USA","California, USA","United States","35.174, -120.70259",land,,2017-04-10,"EcoSlo/Nathan Kargolh",1,,1,0.09,0.1085,0,,1,,,,1,,,,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
17743,"San Luis Obispo County, CA, USA","California, USA","United States","35.17374, -120.70247",land,,2017-04-11,"EcoSlo/Nathan Kargol",1,,1,0.34,0.3947,0,,,,,,,,,,4,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,11
17744,"San Luis Obispo County, CA, USA","California, USA","United States","35.17374, -120.7025",land,,2017-04-11,"EcoSlo/Nathan Kargol",1,,1,0.52,1.1993,0,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,8
