"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
26865,"Santa Barbara County, CA, USA","California, USA","United States","34.402660695952, -119.74393844604",land,,2017-10-31,"Santa Barbara County Coastal Cleanup Day 2017",150,,150,654.5,7,0,,6,15,12,11,6,,37,28,267,1,6,3,31,7,92,9,40,5,,,1,6,,,,6,6,1,,,,,6,,,,,,,1,,,,,18,8,1,12,,15,1,,1,1,,,,,78,34,195,967
26867,"Santa Barbara County, CA, USA","California, USA","United States","34.417345249903, -119.65090870857",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",60,,60,160,5,0,,4,4,5,9,6,,8,9,5,1,10,1,1,1,3,13,25,16,,,,,3,13,,1,2,,,,,,3,,,,,,,,,,,,,,,2,,1,1,,,,,,,,10,14,13,184
26868,"Santa Barbara County, CA, USA","California, USA","United States","34.390806725844, -119.51944828033",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",12,,12,92,2.5,0,,6,8,12,11,6,,14,21,186,1,6,3,4,15,137,16,17,4,,,,6,,,,,3,1,,,,,10,,,,,4,,,,,,,,,20,,,15,2,,1,1,,,,,19,42,66,657
26869,"Santa Barbara County, CA, USA","California, USA","United States","34.390620802559, -119.51974868774",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",31,,31,56,2,0,,8,,16,20,14,,56,41,181,,15,7,,3,280,12,40,11,,,,2,,,,8,2,6,,,,,13,,,,,1,,,,,4,,,9,6,3,,30,7,,,,2,,,,22,5,339,1163
26872,"Santa Barbara County, CA, USA","California, USA","United States","34.412716220306, -119.68613147736",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",127,,127,267.1,3,0,,23,198,25,75,21,,46,366,1290,109,44,15,18,34,460,74,130,28,,,,50,5,3,,15,36,9,,,,,84,,,,,3,,,,15,2,,5,4,14,28,,,14,,16,9,3,,,,694,106,651,4722
26873,"Santa Barbara County, CA, USA","California, USA","United States","34.414521837855, -119.68046665192",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",13,,13,123.5,2,0,,3,43,1,4,3,,6,11,239,10,2,3,,4,34,13,12,4,,,,3,3,,,9,6,,,,,,,,,,,1,,1,,1,5,,1,2,4,4,,,3,,,,,,,,1139,23,56,1653
26875,"Santa Barbara County, CA, USA","California, USA","United States","34.470618162654, -120.21858215332",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",52,,52,99.48,2,0,,37,37,53,49,37,,35,48,186,7,32,4,7,10,149,32,39,15,,,,,,2,,,,3,,,,,2,,,,,4,,8,,1,3,,,8,1,1,,,,,,,,,,,175,11,100,1096
26876,"Santa Barbara County, CA, USA","California, USA","United States","34.415707859543, -119.63768005371",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",83,,83,397,2,0,,24,,24,14,3,,11,24,76,3,1,14,4,,41,9,11,3,,,,38,,5,,,16,8,,,,,1,,,,,,,,,1,,,,3,2,10,,,,,,,,,,,116,57,132,651
26877,"Santa Barbara County, CA, USA","California, USA","United States","34.419230421802, -119.79475021362",land,,2017-10-31,"Santa Barbara County Coastal Cleanup Day 2017",8,,8,16.5,7,0,,1,,1,14,1,,2,14,,1,1,1,1,,6,,3,8,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,5,,,,5,,,,,2250,,30,2350
26878,"Santa Barbara County, CA, USA","California, USA","United States","34.419230421802, -119.79475021362",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",49,,49,1104,6,0,,14,15,137,112,106,,127,296,1197,8,73,41,11,32,326,87,80,31,,,,13,,1,,,,6,,,,,22,,,,,9,,2,,,11,,,,,3,,15,11,,,12,,,,,103,244,118,3263
26879,"Santa Barbara County, CA, USA","California, USA","United States","34.392179003982, -119.52292442322",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",91,,91,40,1,0,,1,9,9,8,3,,15,27,132,,1,1,29,22,78,8,9,2,,,1,3,1,1,,,1,3,,,,,4,,,,,1,,,,,,,1,1,10,4,,9,2,,4,1,,,,,25,95,101,622
26880,"Santa Barbara County, CA, USA","California, USA","United States","34.40166924077, -119.69836235046",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",56,,56,131,7,0,,24,21,66,53,44,,106,12,480,2,9,12,11,25,313,20,38,35,,,4,1,,,,80,4,19,,,,,22,,,,,,,,,,1,,11,3,110,14,,,3,,20,3,,,,,118,5,138,1827
26881,"Santa Barbara County, CA, USA","California, USA","United States","34.463046473639, -120.06927967072",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",15,,15,27,2,0,,5,31,37,21,10,,19,17,31,9,15,19,3,11,51,9,11,19,,,,5,,,,3,,2,,,,,2,,,,,,,8,,,,,,3,,,,,3,,,,,,,,70,6,90,510
26884,"Santa Barbara County, CA, USA","California, USA","United States","34.409724474059, -119.69087362289",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",14,,14,45,1,0,,1,19,6,11,10,,50,56,892,6,19,8,,17,323,17,18,9,,,,8,,,,,,1,,,,,,,,,,,,2,,2,2,,,,1,5,,,2,,3,3,,,,,31,2,26,1550
26885,"Santa Barbara County, CA, USA","California, USA","United States","34.597606737243, -120.09344100952",land,,2017-09-16,"Santa Barbara County Coastal Cleanup Day 2017",14,,14,233.05,0.25,0,,5,11,12,15,17,,3,5,4,,1,,1,1,15,5,5,3,,,1,4,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,15,132
Totals:,,,,,,,,,,,,,,,,334,762,836,892,628,0,1005,1999,10684,306,450,281,245,387,4629,654,942,359,0,0,13,280,23,38,0,232,149,140,0,0,0,0,320,0,34,0,0,45,0,37,0,40,52,0,75,70,339,173,17,112,86,81,93,72,8,454,0,12,7682,1285,4462
