"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
2626,"Santa Barbara County, CA, USA","California, USA","United States","34.40241, -119.69744",land,,2016-06-18,,8,,8,12.6,10.8795,0,,,,8,7,16,,,3,255,,8,,,7,4,13,4,3,,,,,,,,,,6,,,,,,,7,,,,,,,,,,,,,,2,,,1,,,,1,,8,,,18,371
2649,"Santa Barbara County, CA, USA","California, USA","United States","34.37526, -119.47952",land,,2016-06-26,,1,,1,0.05,0,0,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2664,"Santa Barbara County, CA, USA","California, USA","United States","34.37521, -119.47949",land,,2016-06-26,,1,,1,0.06,0.0127,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2671,"Santa Barbara County, CA, USA","California, USA","United States","34.40241, -119.69744",land,,2016-06-18,,8,,8,12.6,10.8795,0,,,,8,7,16,,,3,255,,8,,,7,4,13,4,3,,,,,,,,,,6,,,,,,,7,,,,,,,,,,,,,,2,,,1,,,,1,,8,,,18,371
2681,"Santa Barbara County, CA, USA","California, USA","United States","34.37521, -119.47949",land,,2016-06-26,,1,,1,0.06,0.0127,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3064,"Santa Barbara County, CA, USA","California, USA","United States","34.4208, -119.69311",land,,2016-08-22,"Explore Ecology",1,,1,0.01,0.0009,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4765,"Santa Barbara County, CA, USA","California, USA","United States","34.40245, -119.69865",land,,2016-09-17,medtronic,1,,1,3.69,0.915,0,,,,,3,,,,,3,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,12,,,,15,,10,,,30,75
4782,"Santa Barbara County, CA, USA","California, USA","United States","34.43163, -119.91663",land,,2016-09-17,,1,,1,2.55,0.0302,0,,3,,2,,,,,1,3,,,,2,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,1,,,5,22
4784,"Santa Barbara County, CA, USA","California, USA","United States","34.43166, -119.87278",land,,2016-09-16,,2,,2,10,3.7242,0,,1,,3,3,43,,,1,30,,,,1,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,127
4798,"Santa Barbara County, CA, USA","California, USA","United States","34.40341, -119.74361",land,,2016-09-17,"Explore Ecology",4,,4,1.35,1.6534,0,,1,,,,,,,3,7,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,8,,,,,,27
