"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
103859,"Santa Barbara County, CA, USA","California, USA","United States","34.40123, -119.52746",land,,2020-01-08,"Explore Ecology- FTO Aliso, FTO",29,,29,1,0.0213,0,,1,,,,,,,5,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,6,122
103860,"Santa Barbara County, CA, USA","California, USA","United States","34.40344, -119.74351",land,,2020-01-08,"Explore Ecology- WRC, city h20",25,,25,0.53,0.0233,0,,3,,,,,,,4,3,,,1,,,6,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,15,40
103862,"Santa Barbara County, CA, USA","California, USA","United States","34.40098, -119.52744",land,,2020-01-08,"Explore Ecology- FTO Aliso, FTO",27,,27,1,0.0115,0,,1,,,,,,,3,,,,,,1,71,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,16,109
104267,"Santa Barbara County, CA, USA","California, USA","United States","34.40361, -119.74337",land,,2020-01-12,"Explore Ecology",1,,1,1.61,0.0247,0,,,,1,,,,,1,11,,,1,,,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,45,70
106537,"Santa Barbara County, CA, USA","California, USA","United States","34.40342, -119.74353",land,,2020-01-14,"Explore Ecology- FTO Monroe, City H2o",25,,25,1.46,0,0,,,,,1,,,,2,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,12,31
106544,"Santa Barbara County, CA, USA","California, USA","United States","34.40367, -119.74347",land,,2020-01-14,"Explore Ecology- FTO Monroe, City H2o",25,,25,4.48,0.1182,0,,,,2,2,3,,,26,13,,,,,1,36,3,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8,,,,,,98
106599,"Santa Barbara County, CA, USA","California, USA","United States","34.40362, -119.74339",land,,2020-01-15,"Explore Ecology- FTO Aliso, FTO",29,,29,0.47,0.0182,0,,2,,,1,,,,,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,21
106600,"Santa Barbara County, CA, USA","California, USA","United States","34.40362, -119.74339",land,,2020-01-15,"Explore Ecology- FTO Aliso, FTO",29,,29,2.91,0.0312,0,,2,,1,,2,,,16,5,,,1,,1,10,1,2,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,14,,,,,4,63
106671,"Santa Barbara County, CA, USA","California, USA","United States","34.397711560264, -119.51965676258",land,,2020-01-16,"Explore Ecology- FTO Carp Family, FTO",23,,23,2,0.5,0,1,1,,,1,1,,,2,,,,,,,21,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30
106862,"Santa Barbara County, CA, USA","California, USA","United States","34.413335507207, -119.68426460713",land,,2020-01-21,"East Beach - Cate School",1,3,4,11,1,0,1,5,2,2,11,5,,,15,121,2,4,,,,55,2,6,1,,,,,,,,1,3,,,,,,1,,1,,,,,,,,,,,3,,,,20,1,,1,1,,,,,145,7,95,510
